                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1901,                 4.9173,                 4.3748,                      0,                      0,                      0,                      0,                 4.4568,                 5.1261,                 4.1593,                  8e-05,                  8e-05,                  8e-05
                      2,                 4.2468,                 4.8021,                 4.3239,                      0,                      0,                      0,                      0,                 4.4571,                 5.1293,                 4.1592,             0.00017613,             0.00017613,             0.00017613
                      3,                 4.2813,                 4.6214,                 4.2938,                      0,                      0,                      0,                      0,                 4.4574,                 5.1352,                 4.1611,             0.00026795,             0.00026795,             0.00026795
                      4,                  4.246,                 4.4187,                 4.2591,                      0,                      0,                      0,                      0,                 4.4618,                  5.126,                 4.1645,             0.00035547,             0.00035547,             0.00035547
                      5,                 4.0018,                 4.1055,                 4.2073,                      0,                      0,                      0,                      0,                 4.4721,                 5.1268,                 4.1679,             0.00043868,             0.00043868,             0.00043868
                      6,                 3.6981,                 3.6464,                 4.0602,                      0,                      0,                      0,                      0,                 4.4745,                 5.0846,                 4.1716,             0.00051759,             0.00051759,             0.00051759
                      7,                 3.3131,                 3.6526,                 4.0114,                      0,                      0,                      0,                      0,                 4.4702,                 5.0495,                 4.1727,             0.00059219,             0.00059219,             0.00059219
                      8,                 2.9492,                 3.4169,                 3.8702,                      0,                      0,                      0,                      0,                 4.4533,                 5.0009,                 4.1698,             0.00066249,             0.00066249,             0.00066249
                      9,                 2.8693,                 3.1067,                 3.6905,                      0,                      0,                      0,                      0,                 4.4376,                 4.9834,                 4.1705,             0.00072849,             0.00072849,             0.00072849
                     10,                 2.7587,                 2.9132,                 3.4415,                      0,                      0,                      0,                      0,                 4.3991,                 4.9599,                 4.1571,             0.00079018,             0.00079018,             0.00079018
                     11,                 2.5138,                 2.5988,                 3.2889,                      0,                      0,                      0,                      0,                 4.3645,                 4.8969,                 4.1382,             0.00084757,             0.00084757,             0.00084757
                     12,                 2.4584,                 2.7757,                 3.0867,                      0,                      0,                      0,                      0,                 4.3271,                 4.9288,                 4.1186,             0.00090065,             0.00090065,             0.00090065
